gutenberg_id,text
9182,Villette
9182,
9182,by Charlotte Brontë
9182,
9182,
9182,Contents
9182,
9182, I. BRETTON
9182, II. PAULINA
9182, III. THE PLAYMATES
9182, IV. MISS MARCHMONT
9182, V. TURNING A NEW LEAF
9182, VI. LONDON
9182, VII. VILLETTE
9182, VIII. MADAME BECK
9182, IX. ISIDORE
9182, X. DR. JOHN
9182, XI. THE PORTRESS’S CABINET
9182, XII. THE CASKET
9182, XIII. A SNEEZE OUT OF SEASON
9182, XIV. THE FÊTE
9182, XV. THE LONG VACATION
9182, XVI. AULD LANG SYNE
9182, XVII. LA TERRASSE
9182, XVIII. WE QUARREL
9182, XIX. THE CLEOPATRA
9182, XX. THE CONCERT
9182, XXI. REACTION
9182, XXII. THE LETTER
9182, XXIII. VASHTI
9182, XXIV. M. DE BASSOMPIERRE
9182, XXV. THE LITTLE COUNTESS
9182, XXVI. A BURIAL
9182, XXVII. THE HÔTEL CRÉCY
9182, XXVIII. THE WATCHGUARD
9182, XXIX. MONSIEUR’S FÊTE
9182, XXX. M. PAUL
9182, XXXI. THE DRYAD
9182, XXXII. THE FIRST LETTER
9182, XXXIII. M. PAUL KEEPS HIS PROMISE
9182, XXXIV. MALEVOLA
9182, XXXV. FRATERNITY
9182, XXXVI. THE APPLE OF DISCORD
9182, XXXVII. SUNSHINE
9182, XXXVIII. CLOUD
9182, XXXIX. OLD AND NEW ACQUAINTANCE
9182, XL. THE HAPPY PAIR
9182, XLI. FAUBOURG CLOTILDE
9182, XLII. FINIS
9182,
9182,
9182,
9182,
9182,VILLETTE.
9182,
9182,
9182,
9182,
9182,CHAPTER I.
9182,BRETTON.
9182,
9182,
9182,My godmother lived in a handsome house in the clean and ancient town of
9182,"Bretton. Her husband’s family had been residents there for generations,"
9182,"and bore, indeed, the name of their birthplace—Bretton of Bretton:"
9182,"whether by coincidence, or because some remote ancestor had been a"
9182,personage of sufficient importance to leave his name to his
9182,"neighbourhood, I know not."
9182,
9182,"When I was a girl I went to Bretton about twice a year, and well I"
9182,liked the visit. The house and its inmates specially suited me. The
9182,"large peaceful rooms, the well-arranged furniture, the clear wide"
9182,"windows, the balcony outside, looking down on a fine antique street,"
9182,where Sundays and holidays seemed always to abide—so quiet was its
9182,"atmosphere, so clean its pavement—these things pleased me well."
9182,
9182,"One child in a household of grown people is usually made very much of,"
9182,"and in a quiet way I was a good deal taken notice of by Mrs. Bretton,"
9182,"who had been left a widow, with one son, before I knew her; her"
9182,"husband, a physician, having died while she was yet a young and"
9182,handsome woman.
9182,
9182,"She was not young, as I remember her, but she was still handsome, tall,"
9182,"well-made, and though dark for an Englishwoman, yet wearing always the"
9182,"clearness of health in her brunette cheek, and its vivacity in a pair"
9182,"of fine, cheerful black eyes. People esteemed it a grievous pity that"
9182,"she had not conferred her complexion on her son, whose eyes were"
9182,"blue—though, even in boyhood, very piercing—and the colour of his long"
9182,"hair such as friends did not venture to specify, except as the sun"
9182,"shone on it, when they called it golden. He inherited the lines of his"
9182,"mother’s features, however; also her good teeth, her stature (or the"
9182,"promise of her stature, for he was not yet full-grown), and, what was"
9182,"better, her health without flaw, and her spirits of that tone and"
9182,equality which are better than a fortune to the possessor.
9182,
9182,In the autumn of the year —— I was staying at Bretton; my godmother
9182,having come in person to claim me of the kinsfolk with whom was at that
9182,time fixed my permanent residence. I believe she then plainly saw
9182,"events coming, whose very shadow I scarce guessed; yet of which the"
9182,"faint suspicion sufficed to impart unsettled sadness, and made me glad"
9182,to change scene and society.
9182,
9182,Time always flowed smoothly for me at my godmother’s side; not with
9182,"tumultuous swiftness, but blandly, like the gliding of a full river"
9182,through a plain. My visits to her resembled the sojourn of Christian
9182,"and Hopeful beside a certain pleasant stream, with “green trees on each"
9182,"bank, and meadows beautified with lilies all the year round.” The charm"
9182,"of variety there was not, nor the excitement of incident; but I liked"
9182,"peace so well, and sought stimulus so little, that when the latter came"
9182,"I almost felt it a disturbance, and wished rather it had still held"
9182,aloof.
9182,
9182,One day a letter was received of which the contents evidently caused
9182,Mrs. Bretton surprise and some concern. I thought at first it was from
9182,"home, and trembled, expecting I know not what disastrous communication:"
9182,"to me, however, no reference was made, and the cloud seemed to pass."
9182,
9182,"The next day, on my return from a long walk, I found, as I entered my"
9182,"bedroom, an unexpected change. In addition to my own French bed in its"
9182,"shady recess, appeared in a corner a small crib, draped with white; and"
9182,"in addition to my mahogany chest of drawers, I saw a tiny rosewood"
9182,"chest. I stood still, gazed, and considered."
9182,
9182,“Of what are these things the signs and tokens?” I asked. The answer
9182,was obvious. “A second guest is coming: Mrs. Bretton expects other
9182,visitors.”
9182,
9182,"On descending to dinner, explanations ensued. A little girl, I was"
9182,"told, would shortly be my companion: the daughter of a friend and"
9182,"distant relation of the late Dr. Bretton’s. This little girl, it was"
9182,"added, had recently lost her mother; though, indeed, Mrs. Bretton ere"
9182,"long subjoined, the loss was not so great as might at first appear."
